Обязательные;;;;Необязательные;;;;;;;;;;;;;;;;Не учитываются
InterName;DispName;PanelName;RibbonSize;RibbonSplitButtonName;ResourceDllName;IconName;AppName;AddonName;LocalName;RealCommandName;Keyword;weight;cmdtype;StatusText;ToolTipText;Accelerators;DontTake;HideCommand;IsVirtualPanel;Sort
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
drz-block-normalize;Нормализация блоков;BlockFix;LargeWithText;;;;Приложение;Адон1;;;;;;Нормализация блоков, оконный режим;;Alt+Q;ДОБАВИТЬ;ДОБАВИТЬ;;100
-drz-block-normalize;Нормализация блоков, ком строка, настройки;BlockFix;SmallWithText;Нормализация блоков;\ic\constr-1.ico;;Приложение;Адон1;;;;;;Нормализация блоков, командный режим, настройки окно;;;ДОБАВИТЬ;ДОБАВИТЬ;;110
-drz-block-normalize-notWin;Нормализация блоков, ком строка;BlockFix;SmallWithText;Нормализация блоков;ic\constr-50.ico;;Приложение;Адон1;;;;;;Нормализация блоков, командный режим, настройки ком строка;;;ДОБАВИТЬ;ДОБАВИТЬ;;120
-drz-block-HatchBack;Штриховки назад;Свойства блоков|;LargeWithText;Порядок;newbtns.dll;BEDIT;Приложение;Адон1;;;;;;Штриховки позади всех;;;ДОБАВИТЬ;ДОБАВИТЬ;;130
-drz-block-WipeOutBack;Маскировки назад;Свойства блоков;LargeWithText;Порядок;newbtns.dll;BEDIT;Приложение;Адон1;;;;;;Маскировки позади всех;;;ДОБАВИТЬ;ДОБАВИТЬ;;140
-drz-block-Explodable-No|;Запретить расчленение;Свойства блоков;LargeWithText;Расчленение;newbtns.dll;BEDIT;Приложение;Адон1;;;;;;Запретить расчленение блока;;;ДОБАВИТЬ;ДОБАВИТЬ;;150
-drz-block-Explodable-Yes;Разрешить расчленение;Свойства блоков;LargeWithText;Расчленение;newbtns.dll;BEDIT;Приложение;Адон1;;;;;;Разрешить расчленение блока;;;ДОБАВИТЬ;ДОБАВИТЬ;;160
-drz-block-Scale-No|;Разные масштабы;Свойства блоков;LargeWithText;Масштаб;newbtns.dll;BEDIT;Приложение;Адон1;;;;;;Разные масштабы блока;;;ДОБАВИТЬ;ДОБАВИТЬ;;170
-drz-block-Scale-Yes;Одинаковые масштабы;Свойства блоков;LargeWithText;Масштаб;newbtns.dll;BEDIT;Приложение;Адон1;;;;;;Одинаковые масштабы блока;;;ДОБАВИТЬ;ДОБАВИТЬ;;180
-drz-block-AllProp-ByBlock;Все свойства по блоку;Свойства примитивов;LargeWithText;Все;newbtns.dll;BEDIT;Приложение;Адон2|;;;;;;Все свойства по блоку;;;ДОБАВИТЬ;ДОБАВИТЬ;;190
-drz-block-AllProp-ByLayer;Все свойства по слою;Свойства примитивов;LargeWithText;Все;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Все свойства по слою;;;ДОБАВИТЬ;ДОБАВИТЬ;;200
-drz-block-Color-ByBlock|;Цвет линий по блоку;Свойства примитивов;LargeWithText;Цвет;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Цвет линий примитивов по блоку;;;ДОБАВИТЬ;ДОБАВИТЬ;;210
-drz-block-Color-ByLayer;Цвет линий по слою;Свойства примитивов;LargeWithText;Цвет;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Цвет линий примитивов по слою;;;ДОБАВИТЬ;ДОБАВИТЬ;;220
-drz-block-Linetype-ByBlock|;Тип линий по блоку;Свойства примитивов;LargeWithText;Тип;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Тип линий примитивов по блоку;;;ДОБАВИТЬ;ДОБАВИТЬ;;228
-drz-block-Linetype-ByLayer;Тип линий по слою;Свойства примитивов;LargeWithText;Тип;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Тип линий примитивов по слою;;;ДОБАВИТЬ;ДОБАВИТЬ;;229
-drz-block-Lineweight-ByBlock|sep;Вес линий по блоку;Свойства примитивов;LargeWithText;Вес;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Вес линий примитивов по блоку;;;ДОБАВИТЬ;ДОБАВИТЬ;;260
-drz-block-Lineweight-ByLayer;Вес линий по слою;Свойства примитивов;LargeWithText;Вес;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Вес линий примитивов по слою;;;ДОБАВИТЬ;ДОБАВИТЬ;;270
-drz-block-LayerZero|;Примитивы на слой 0;Свойства примитивов;LargeWithText;На ноль;newbtns.dll;BEDIT;Приложение;Адон2;;;;;;Примитивы блока на слой 0;;;ДОБАВИТЬ;ДОБАВИТЬ;;275
